date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:26:58	188787/188787	---M-Z	200	added ('OK')	text/html	etag:%222e173-6220d31706014-gzip%22	https://templates.iqonic.design/booksto-dist/html/charts/high-chart.html	D:/TemplateFE/BookSto/templates.iqonic.design/booksto-dist/html/charts/high-chart.html	(from https://templates.iqonic.design/booksto-dist/html/)
12:26:58	190828/190828	---M-Z	200	added ('OK')	text/html	etag:%222e96c-6220d31706014-gzip%22	https://templates.iqonic.design/booksto-dist/html/charts/am-chart.html	D:/TemplateFE/BookSto/templates.iqonic.design/booksto-dist/html/charts/am-chart.html	(from https://templates.iqonic.design/booksto-dist/html/)
12:26:59	189565/189565	---M-Z	200	added ('OK')	text/html	etag:%222e47d-6220d31706014-gzip%22	https://templates.iqonic.design/booksto-dist/html/charts/apex-chart.html	D:/TemplateFE/BookSto/templates.iqonic.design/booksto-dist/html/charts/apex-chart.html	(from https://templates.iqonic.design/booksto-dist/html/)
12:26:59	186187/186187	---M-Z	200	added ('OK')	text/html	etag:%222d74b-6220d31706fb4-gzip%22	https://templates.iqonic.design/booksto-dist/html/extra-pages/blank-page.html	D:/TemplateFE/BookSto/templates.iqonic.design/booksto-dist/html/extra-pages/blank-page.html	(from https://templates.iqonic.design/booksto-dist/html/)
12:26:59	195710/195710	---M-Z	200	added ('OK')	text/html	etag:%222fc7e-6220d31717959-gzip%22	https://templates.iqonic.design/booksto-dist/html/ui-elements/ui-color.html	D:/TemplateFE/BookSto/templates.iqonic.design/booksto-dist/html/ui-elements/ui-color.html	(from https://templates.iqonic.design/booksto-dist/html/)
12:26:59	193348/193348	---M-Z	200	added ('OK')	text/html	etag:%222f344-6220d31717959-gzip%22	https://templates.iqonic.design/booksto-dist/html/ui-elements/typography.html	D:/TemplateFE/BookSto/templates.iqonic.design/booksto-dist/html/ui-elements/typography.html	(from https://templates.iqonic.design/booksto-dist/html/)
12:27:00	197692/197692	---M-Z	200	added ('OK')	text/html	etag:%223043c-6220d31713ad8-gzip%22	https://templates.iqonic.design/booksto-dist/html/ui-elements/alerts.html	D:/TemplateFE/BookSto/templates.iqonic.design/booksto-dist/html/ui-elements/alerts.html	(from https://templates.iqonic.design/booksto-dist/html/)
12:27:00	196776/196776	---M-Z	200	added ('OK')	text/html	etag:%22300a8-6220d31713ad8-gzip%22	https://templates.iqonic.design/booksto-dist/html/ui-elements/badges.html	D:/TemplateFE/BookSto/templates.iqonic.design/booksto-dist/html/ui-elements/badges.html	(from https://templates.iqonic.design/booksto-dist/html/)
12:27:00	204034/204034	---M-Z	200	added ('OK')	text/html	etag:%2231d02-6220d31713ad8-gzip%22	https://templates.iqonic.design/booksto-dist/html/ui-elements/breadcrumb.html	D:/TemplateFE/BookSto/templates.iqonic.design/booksto-dist/html/ui-elements/breadcrumb.html	(from https://templates.iqonic.design/booksto-dist/html/)
12:27:01	247550/247550	---M-Z	200	added ('OK')	text/html	etag:%223c6fe-6220d31714a78-gzip%22	https://templates.iqonic.design/booksto-dist/html/ui-elements/buttons.html	D:/TemplateFE/BookSto/templates.iqonic.design/booksto-dist/html/ui-elements/buttons.html	(from https://templates.iqonic.design/booksto-dist/html/)
12:27:01	208001/208001	---M-Z	200	added ('OK')	text/html	etag:%2232c81-6220d31714a78-gzip%22	https://templates.iqonic.design/booksto-dist/html/ui-elements/cards.html	D:/TemplateFE/BookSto/templates.iqonic.design/booksto-dist/html/ui-elements/cards.html	(from https://templates.iqonic.design/booksto-dist/html/)
12:27:01	194849/194849	---M-Z	200	added ('OK')	text/html	etag:%222f921-6220d31714a78-gzip%22	https://templates.iqonic.design/booksto-dist/html/ui-elements/carousel.html	D:/TemplateFE/BookSto/templates.iqonic.design/booksto-dist/html/ui-elements/carousel.html	(from https://templates.iqonic.design/booksto-dist/html/)
12:27:01	189372/189372	---M-Z	200	added ('OK')	text/html	etag:%222e3bc-6220d31717959-gzip%22	https://templates.iqonic.design/booksto-dist/html/ui-elements/video.html	D:/TemplateFE/BookSto/templates.iqonic.design/booksto-dist/html/ui-elements/video.html	(from https://templates.iqonic.design/booksto-dist/html/)
12:27:02	203765/203765	---M-Z	200	added ('OK')	text/html	etag:%2231bf5-6220d31714a78-gzip%22	https://templates.iqonic.design/booksto-dist/html/ui-elements/grid.html	D:/TemplateFE/BookSto/templates.iqonic.design/booksto-dist/html/ui-elements/grid.html	(from https://templates.iqonic.design/booksto-dist/html/)
12:27:02	199718/199718	---M-Z	200	added ('OK')	text/html	etag:%2230c26-6220d31714a78-gzip%22	https://templates.iqonic.design/booksto-dist/html/ui-elements/images.html	D:/TemplateFE/BookSto/templates.iqonic.design/booksto-dist/html/ui-elements/images.html	(from https://templates.iqonic.design/booksto-dist/html/)
12:27:02	201375/201375	---M-Z	200	added ('OK')	text/html	etag:%223129f-6220d31715a19-gzip%22	https://templates.iqonic.design/booksto-dist/html/ui-elements/list-group.html	D:/TemplateFE/BookSto/templates.iqonic.design/booksto-dist/html/ui-elements/list-group.html	(from https://templates.iqonic.design/booksto-dist/html/)
12:27:02	197144/197144	---M-Z	200	added ('OK')	text/html	etag:%2230218-6220d31715a19-gzip%22	https://templates.iqonic.design/booksto-dist/html/ui-elements/media.html	D:/TemplateFE/BookSto/templates.iqonic.design/booksto-dist/html/ui-elements/media.html	(from https://templates.iqonic.design/booksto-dist/html/)
